번호,이름,데이터
1,구몬 한자 B,hanjab.csv
2,구몬 한자 C(예정),hanjac.csv
3,구몬 한자 D I(예정),hanjadi.csv
4,구몬 한자 D II(예정),hanjadii.csv
5,구몬 한자 E I(예정),hanjaei.csv
6,구몬 한자 E II(예정),hanjaeii.csv
7,구몬 한자 F I(예정),hanjafi.csv
8,구몬 한자 F II(예정),hanjafii.csv
9,구몬 한자 G(예정),hanjag.csv
10,구몬 한자 H(예정),hanjah.csv
11,구몬 한자 I(예정),hanjai.csv
12,구몬 한자 J(예정),hanjaj.csv
13,구몬 한자 K(예정),hanjak.csv
31,8급 신출 한자,grade8.csv
32,7급 신출 한자,grade7.csv
33,6급 신출 한자,grade6.csv
34,준5급 신출 한자,grade5j.csv
35,5급 신출 한자,grade5.csv
36,준4급 신출 한자,grade4j.csv
37,4급 신출 한자,grade4.csv
38,준3급 신출 한자,grade3j.csv
39,3급 신출 한자,grade3.csv
40,준2급 신출 한자,grade2j.csv
41,2급 신출 한자,grade2.csv
42,준1급 신출 한자,grade1j.csv
43,1급 신출한자,grade1.csv