번호,한자,뜻,음
1,深,깊을,심
2,貴,귀할,귀
3,技,재주,기
4,賞,상줄,상
5,喜,기쁠,희
6,夜,밤,야
7,消,사라질,소
8,再,거듭,재
9,希,바랄,희
10,從,따를,종
11,堂,집,당
12,祭,제사,제
13,乘,탈,승
14,限,한계,한
15,保,보전할,보
16,建,세울,건
17,兵,군사,병
18,受,받을,수
19,陽,볕,양
20,基,터,기
21,章,글,장
22,船,배,선
23,冠,갓,관
24,獨,홀로,독
25,眼,눈,안
26,異,다를,이
27,骨,뼈,골
28,燈,등불,등
29,經,지날,경
30,尺,자,척
31,體,몸,체
32,値,값,치
33,聲,소리,성
34,錄,기록할,록
35,護,보호할,호
36,望,바랄,망
37,了,마칠,료
38,增,더할,증
39,臣,신하,신
40,裏,속,리
41,興,흥할,흥
42,憎,미워할,증
43,寒,찰,한
44,陰,그늘,음
45,昨,어제,작
46,着,붙을,착
47,接,접할,접
48,豫,미리,예
49,缺,부족할,결
50,極,다할,극
51,離,떠날,리
52,散,흩어질,산
53,爭,다툴,쟁
54,費,쓸,비
55,個,낱,개
56,到,이를,도
57,贊,찬성할,찬
58,卒,마칠,졸
59,最,가장,최
60,付,줄,부
61,製,지을,제
62,展,나타날,전
63,際,사이,제
64,驗,시험할,험
65,非,아닐,비
66,條,조목,조
67,確,굳을,확
68,宅,집,택
69,競,다툴,경
70,案,생각,안
71,級,등급,급
72,觀,볼,관
73,商,장사,상
74,害,해칠,해
75,號,부르짖을,호
76,距,떨어질,거
77,刻,새길,각
78,句,구절,구
79,虛,빌,허
80,益,더할,익
81,換,바꿀,환
82,揚,날릴,양
83,往,갈,왕
84,之,갈,지
85,戰,싸움,전
86,難,어려울,난
87,由,말미암을,유
88,樣,모양,양
89,禍,재앙,화
90,是,옳을,시
91,賤,천할,천
92,除,덜,제
93,喪,잃을,상
94,起,일어날,기
95,機,기계,기
96,衆,무리,중
97,階,계단,계
98,帶,띠,대
99,健,굳셀,건
100,精,깨끗할,정